CVEGEO,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
0900300011410,57000.0,57000.0,57000.0
0900400010091,65510.769230769234,65510.769230769234,65510.769230769234
0901200010661,24000.0,24000.0,24000.0
0901400010045,32271.31322311161,36439.58194973609,40607.850676360584
090140001005A,50000.0,50000.0,50000.0
0901400010238,64176.12413793104,64176.12413793104,64176.12413793104
090150001056A,68470.78557450377,76667.59854626782,84864.41151803188
0901500010610,60336.53846153846,75000.0,78441.17647058824
0901500010714,66001.37504982065,74518.13471502591,76783.46097453423
0901500010729,52267.44186046512,59611.11111111111,65782.59649122808
0901500010733,54732.142857142855,57083.33333333333,59434.52380952381
0901500010841,40798.406139315215,44692.05037386855,48585.69460842188
0901500010856,57746.31157789447,59686.17154288571,61626.03150787696
0901500010926,33273.423005565855,39274.118738404446,45274.81447124303
0901500010930,27426.470588235294,42352.94117647059,48205.882352941175
0901500010945,46037.45210727969,46745.27458492976,47453.09706257982
090150001095A,61033.550415450256,63467.94491525424,69888.92940930038
0901500010983,88414.63414634146,88414.63414634146,88414.63414634146
0901500010998,47990.04359025163,63761.46788990826,79952.29304029304
0901500011002,51428.57142857142,61785.71428571428,68852.45901639345
0901500011017,37142.85714285714,51886.79245283019,63049.767857142855
0901500011089,27494.50549450549,42788.05620608899,53953.271654599084
0901500011093,42095.23809523809,54741.89675870347,69564.93506493507
0901500011106,48820.16036655212,55789.47368421053,65241.871884519525
0901500011110,51982.69318181818,61612.90322580645,69894.88454990424
0901500011125,37334.920634920636,46987.951807228914,56763.15789473684
090150001113A,40642.857142857145,40642.857142857145,40642.857142857145
0901500011178,62993.42105263158,72653.50877192983,82313.59649122808
0901500011182,36326.5306122449,44444.444444444445,83333.33333333333
0901500011197,54309.97023809524,58016.51473526473,73218.67321867321
090150001120A,50696.42857142857,53951.0,58411.21495327103
0901500011214,48387.096774193546,58587.03871748336,71340.03968253969
0901500011322,61807.23609949833,66199.69597189696,73105.054532056
0901500011337,54573.17073170732,54573.17073170732,54573.17073170732
0901500011341,53125.0,58784.61538461538,65555.55555555556
0901500011356,57734.81481481482,59633.132530120485,62298.55670103093
0901500011360,24017.241379310348,26977.777777777777,46451.12781954887
0901500011375,43621.52173913043,48185.681818181816,59298.96907216495
090150001138A,42426.57342657342,48489.51048951049,54552.44755244756
0901500011430,59040.55882352941,64081.117647058825,65893.4833518313
0901500011445,24279.384221748398,32106.654157782516,39933.92409381663
090150001145A,54275.47252747252,56511.041208791205,59037.8213562753
0901500011479,40178.57142857143,40178.57142857143,40178.57142857143
0901600010444,30000.0,30000.0,30000.0
0901600010798,55235.294117647056,55235.294117647056,55235.294117647056
