property_type,price_type,lat,lon,years,CVEGEO,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela,is_depto,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
depto,renta,19.4229918,-99.1642322,1.0,0901500010998,1,605.0,17.0,106.0,256.0,12.0,1,2.0,2.0,35294.11764705882,59837.60235447402,64043.01075268817,53593.108076563956,9053.910402388692,45555.55555555556,58439.22572316689,70147.05882352941
casa,renta,19.419022,-99.1709307,0.0,0901500010998,2,442.0,72.0,67.0,103.0,13.0,0,4.0,3.0,45646.66103127641,66213.59223300971,69332.1970671469,43122.56049960967,18479.584611136866,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.4190796,-99.1709152,1.0,0901500010998,3,447.0,72.0,69.0,105.0,13.0,0,3.0,3.0,68633.13609467456,50601.10829341598,66213.59223300971,43122.56049960967,16502.731361617694,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.419837,-99.1695818,0.0,0901500010998,4,429.0,32.0,65.0,95.0,14.0,1,2.0,2.0,48791.20879120879,48371.0407239819,68972.97846403901,43261.47151898734,16543.9646385891,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4211777,-99.1667885,0.0,0901500010998,5,362.0,27.0,75.0,55.0,6.0,1,2.0,2.0,46967.93002915452,56551.19047619048,63761.46788990826,44318.181818181816,13740.119054985338,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4229918,-99.1642322,1.0,0901500010998,6,605.0,17.0,106.0,256.0,12.0,1,2.0,2.0,44369.74789915966,58253.18467267261,64043.01075268817,53029.41176470588,10866.907612756091,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4205083,-99.1669138,0.0,0901500010998,7,378.0,33.0,67.0,64.0,7.0,1,1.0,1.0,70000.0,58877.92364518882,63596.696155526435,42448.48250728863,12347.048805109678,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4198706,-99.1695089,11.0,0901500010998,8,431.0,32.0,67.0,94.0,13.0,1,2.0,2.0,46153.84615384615,49689.72204266322,68972.97846403901,43261.47151898734,16401.61330245972,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202688,-99.1642694,0.0,0901500010998,9,327.0,18.0,74.0,61.0,12.0,1,3.0,2.0,46875.0,54255.31914893617,63835.71640670831,42601.6548463357,13865.842547646469,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202448,-99.1695894,0.0,0901500010998,11,408.0,29.0,64.0,90.0,13.0,1,2.0,3.0,35326.086956521736,49689.72204266322,68972.97846403901,44291.62609542356,15229.543256265371,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42028,-99.168,0.0,0901500010998,12,406.0,32.0,74.0,75.0,9.0,1,2.0,3.0,59633.02752293578,52293.577981651375,58430.91099307903,45262.23776223776,13001.573569029017,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202448,-99.1695894,25.0,0901500010998,13,408.0,29.0,64.0,90.0,13.0,1,2.0,2.0,50588.23529411765,47472.527472527465,68972.97846403901,43261.47151898734,16610.97062072028,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.422955,-99.165253,0.0,0901500010998,14,612.0,15.0,120.0,246.0,11.0,1,2.0,2.0,55235.294117647056,57949.21340629275,69631.94179692464,50865.27514231499,15017.711919634532,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42048,-99.1702009,28.0,0901500010998,15,411.0,25.0,73.0,94.0,12.0,1,1.0,1.0,31877.55102040816,63468.553222448005,68727.3111017307,56573.26007326007,14893.860225311102,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.4216027,-99.1694198,91.0,0901500010998,21,407.0,26.0,74.0,82.0,9.0,0,3.0,3.0,61702.12765957447,72051.76988416989,77546.94444444444,46697.60211490487,22293.358784620454,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.41991,-99.1662471,0.0,0901500010998,22,418.0,34.0,79.0,76.0,11.0,1,1.0,2.0,39999.99999999999,52545.37489829819,62821.10091743119,45555.55555555556,11437.938534079916,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4207309,-99.1667851,20.0,0901500010998,23,345.0,28.0,70.0,57.0,7.0,1,2.0,2.0,63761.46788990826,58877.92364518882,63596.696155526435,42448.48250728863,13012.611027572233,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4214968,-99.165573,10.0,0901500010998,24,389.0,23.0,93.0,75.0,11.0,1,2.0,3.0,63978.49462365591,44936.86868686869,48942.30769230769,43560.74846206425,9457.894182989961,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.4221155,-99.1650541,26.0,0901500010998,26,416.0,21.0,99.0,91.0,11.0,0,2.2,2.2,70588.23529411765,57526.91104739919,59016.30394310608,45874.06015037594,11458.301135764485,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4221155,-99.1650541,45.0,0901500010998,27,416.0,21.0,99.0,91.0,11.0,1,1.0,3.0,41632.65306122448,59016.28998026586,62786.335213862665,54187.95445720456,11962.99511770189,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4202,-99.1684,14.0,0901500010998,28,424.0,32.0,77.0,77.0,10.0,1,2.0,3.0,39318.47968545216,52293.577981651375,58430.91099307903,45298.295454545456,13419.446552576672,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4221155,-99.1650541,0.0,0901500010998,29,416.0,21.0,99.0,91.0,11.0,1,2.0,2.0,43308.270676691725,59016.28998026586,62786.335213862665,54187.95445720456,12166.18617976042,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202853,-99.1696874,0.0,0901500010998,31,424.0,28.0,74.0,92.0,13.0,1,2.0,1.0,43670.88607594937,49689.72204266322,68972.97846403901,43882.21153846154,16218.623755997618,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202,-99.1684,14.0,0901500010998,32,424.0,32.0,77.0,77.0,10.0,1,2.0,2.0,52293.577981651375,52055.879899916596,58430.91099307903,43088.94230769231,14230.028266924104,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202448,-99.1695894,0.0,0901500010998,33,408.0,29.0,64.0,90.0,13.0,1,2.0,2.0,43125.0,49689.72204266322,68972.97846403901,44291.62609542356,16171.868655345812,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.423094,-99.164185,0.0,0901500010998,34,641.0,18.0,118.0,271.0,15.0,1,2.0,2.0,52294.117647058825,59074.49704688076,64043.01075268817,47319.64007630829,11579.295053900949,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202688,-99.1642694,60.0,0901500010998,35,327.0,18.0,74.0,61.0,12.0,1,2.0,2.0,36731.63418290854,54255.31914893617,63835.71640670831,45885.41666666667,12794.862838718956,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.422946,-99.1652713,0.0,0901500010998,36,612.0,15.0,121.0,245.0,11.0,1,1.0,2.0,39772.72727272727,57949.21340629275,69583.49218452154,55235.294117647056,13531.302162852064,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4202,-99.1684,14.0,0901500010998,37,424.0,32.0,77.0,77.0,10.0,1,2.0,2.0,34914.80996068152,52293.577981651375,58430.91099307903,45298.295454545456,12771.89433642392,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202,-99.1684,14.0,0901500010998,38,424.0,32.0,77.0,77.0,10.0,1,2.0,3.0,59633.02752293578,52055.879899916596,54191.815548044426,43088.94230769231,14033.825185687389,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42234,-99.164163,0.0,0901500010998,39,394.0,20.0,81.0,91.0,13.0,1,2.0,2.0,70649.35064935064,58253.17536411245,62786.330559582595,47008.23342145437,13434.70694489031,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229918,-99.1642322,2.0,0901500010998,40,605.0,17.0,106.0,256.0,12.0,1,2.0,2.0,68176.4705882353,56362.686741363206,62786.330559582595,46584.34595866123,10776.181611161817,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229547,-99.1652534,0.0,0901500010998,41,612.0,15.0,120.0,246.0,11.0,1,2.0,2.0,58764.705882352944,56184.50752393981,69631.94179692464,50865.27514231499,15067.373211936028,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4221155,-99.1650541,52.0,0901500010998,42,416.0,21.0,99.0,91.0,11.0,1,2.0,2.0,28571.42857142857,59016.28998026586,62786.335213862665,54187.95445720456,9020.57700794787,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.419863,-99.1682223,11.0,0901500010998,43,437.0,31.0,77.0,83.0,9.0,1,2.0,2.0,54824.56140350877,52055.879899916596,57798.16513761468,43088.94230769231,13334.811502847593,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4219017,-99.1635997,0.0,0901500010998,44,365.0,17.0,79.0,87.0,14.0,1,1.0,1.0,83012.82051282052,69520.6729823031,82830.88235294117,55000.0,19454.60322957486,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421949,-99.1689171,0.0,0901500010998,45,363.0,10.0,75.0,67.0,8.0,1,2.0,3.0,45794.39252336448,42367.246634290605,53602.44609363824,32017.43350107836,15055.278225795639,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.41987,-99.169508,0.0,0901500010998,46,431.0,32.0,67.0,94.0,13.0,1,2.0,2.0,40447.50430292599,49689.72204266322,68972.97846403901,44291.62609542356,15907.434161158957,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421857,-99.165886,0.0,0901500010998,47,364.0,21.0,82.0,66.0,10.0,1,1.0,2.0,44318.181818181816,45043.70629370629,52678.57142857143,42051.55746509129,11289.489334771293,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.419863,-99.1682223,11.0,0901500010998,48,437.0,31.0,77.0,83.0,9.0,1,2.0,2.0,51818.181818181816,52293.577981651375,58430.91099307903,43088.94230769231,13369.976714241257,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4219472,-99.1689252,15.0,0901500010998,50,362.0,10.0,75.0,66.0,8.0,1,2.0,2.0,40053.40453938584,45237.74062627992,53602.44609363824,32017.43350107836,14958.466603108418,45555.55555555556,58439.22572316689,70147.05882352941
