price_type,lat,lon,years,CVEGEO,new_id,num_comercios_imp,is_consultorio_imp,is_recreativo_imp,is_retail_imp,is_escuela_imp,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,distance_parque,distance_fuente,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
renta,19.4229918,-99.1642322,1.0,0901500010998,1,605.0,17.0,106.0,256.0,12.0,2.0,2.0,35294.11764705882,66109.74067046173,72129.55077709176,55709.90082079343,12020.1658953788,1301.3933457382298,439.790457753095,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.419837,-99.1695818,0.0,0901500010998,4,429.0,32.0,65.0,95.0,14.0,2.0,2.0,48791.20879120879,70316.88084112148,80112.3271889401,47262.44343891402,22964.930521867507,833.6499220584211,563.6163077699343,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4211777,-99.1667885,0.0,0901500010998,5,362.0,27.0,75.0,55.0,6.0,2.0,2.0,46967.93002915452,66880.73394495413,101813.78667953667,63267.15268676278,24003.68454354236,1019.5249113403148,355.28072323084,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4229918,-99.1642322,1.0,0901500010998,6,605.0,17.0,106.0,256.0,12.0,2.0,2.0,44369.74789915966,61403.85831752056,70031.1306340718,55709.90082079343,13581.221625993965,1301.3933457382298,439.790457753095,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4205083,-99.1669138,0.0,0901500010998,7,378.0,33.0,67.0,64.0,7.0,1.0,1.0,70000.0,79486.09108781126,105503.70270270269,51166.31449434296,29942.058004761653,944.6463261170614,321.555152247491,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4198706,-99.1695089,11.0,0901500010998,8,431.0,32.0,67.0,94.0,13.0,2.0,2.0,46153.84615384615,58892.24848818032,75214.21370967742,44950.966754764224,19886.026856793964,837.2316930435352,556.6782970218168,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.4202688,-99.1642694,0.0,0901500010998,9,327.0,18.0,74.0,61.0,12.0,3.0,2.0,46875.0,49150.0,59717.7703466746,45555.55555555556,16972.678829271263,1033.0935356047742,138.33683986802504,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.419871,-99.169509,0.0,0901500010998,10,431.0,32.0,67.0,94.0,13.0,2.0,2.0,95505.61797752808,49689.72204266322,71877.19042056074,44291.62609542356,16311.545204955975,837.2761075753265,556.696145420084,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.4202448,-99.1695894,0.0,0901500010998,11,408.0,29.0,64.0,90.0,13.0,2.0,3.0,35326.086956521736,58892.24848818032,75214.21370967742,46813.18681318681,18552.640929437624,878.7987674779846,573.3780535013273,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.42028,-99.168,0.0,0901500010998,12,406.0,32.0,74.0,75.0,9.0,2.0,3.0,59633.02752293578,52293.577981651375,58430.91099307903,45298.295454545456,13813.305004353293,894.6949647119653,414.3798016004281,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.4202448,-99.1695894,25.0,0901500010998,13,408.0,29.0,64.0,90.0,13.0,2.0,2.0,50588.23529411765,57993.735236725886,75214.21370967742,44291.62609542356,20203.282113874924,878.7987674779846,573.3780535013273,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.422955,-99.165253,0.0,0901500010998,14,612.0,15.0,120.0,246.0,11.0,2.0,2.0,55235.294117647056,66111.5504943061,73136.77717860223,57541.46716826265,13340.433895417562,1256.603933578413,447.3859129527548,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.42048,-99.1702009,28.0,0901500010998,15,411.0,25.0,73.0,94.0,12.0,1.0,1.0,31877.55102040816,82746.78857540927,101173.07692307692,67051.49852258337,20932.84085610931,908.4899221540203,642.0168267599005,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.41991,-99.1662471,0.0,0901500010998,22,418.0,34.0,79.0,76.0,11.0,1.0,2.0,39999.99999999999,82605.35714285713,105503.70270270269,63761.46788990826,27385.110784975142,904.4434807500896,228.44844557048378,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.4207309,-99.1667851,20.0,0901500010998,23,345.0,28.0,70.0,57.0,7.0,2.0,2.0,63761.46788990826,82605.35714285713,105503.70270270269,63267.15268676278,26538.016562366312,972.0854553123877,323.80162991433684,47990.04359025163,63761.46788990826,79952.29304029304
venta,19.4214968,-99.165573,10.0,0901500010998,24,389.0,23.0,93.0,75.0,11.0,2.0,3.0,63978.49462365591,44936.86868686869,48888.88888888889,42051.55746509129,13035.323739922065,1093.8234725433783,305.80850259868515,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4221155,-99.1650541,45.0,0901500010998,27,416.0,21.0,99.0,91.0,11.0,1.0,3.0,41632.65306122448,54086.65401644529,64026.8817204301,43560.74846206425,14777.111916129512,1177.829872078169,352.14081160028525,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4202,-99.1684,14.0,0901500010998,28,424.0,32.0,77.0,77.0,10.0,2.0,3.0,39318.47968545216,53559.06969258007,59633.02752293578,51937.030859049206,12902.197353985439,879.9497021906634,451.51312036205815,47990.04359025163,63761.46788990826,79952.29304029304
renta,19.4221155,-99.1650541,0.0,0901500010998,29,416.0,21.0,99.0,91.0,11.0,2.0,2.0,43308.270676691725,54086.65401644529,64026.8817204301,42304.035250463814,14913.150916529863,1177.829872078169,352.14081160028525,47990.04359025163,63761.46788990826,79952.29304029304
