main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela
Renta Departamento En Roma Norte,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",1,depto,renta,6.0,19.4229918,-99.1642322,2.0,1.0,2.0,85.0,85.0,1.0,17500.0,metros_cubicos,POINT (-99.1642322 19.4229918),12624,0901500010998,09,015,0001,0998,Urbana,1,605.0,17.0,106.0,256.0,12.0
Renta Casa A Estrenar En Condominio Roma Norte,"Cozumel S/n, Roma Norte, Cuauhtémoc, Distrito Federal",6,casa,renta,4.0,19.419022,-99.1709307,4.0,,3.0,800.0,169.0,0.0,45000.0,metros_cubicos,POINT (-99.1709307 19.419022),12624,0901500010998,09,015,0001,0998,Urbana,2,442.0,72.0,67.0,103.0,13.0
Roma Norte Venta De Hermosa Casa Con Acabados De Lujo.,"Cozumel Sn, Roma Norte, Cuauhtémoc, Distrito Federal",52,casa,venta,41.0,19.4190796,-99.1709152,3.0,,3.0,800.0,169.0,1.0,11599000.0,metros_cubicos,POINT (-99.1709152 19.4190796),12624,0901500010998,09,015,0001,0998,Urbana,3,447.0,72.0,69.0,105.0,13.0
"Confortable Depa En Roma Norte, Cerca De Metro Sevilla, 71465","Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",61,depto,renta,,19.419837,-99.1695818,2.0,1.0,2.0,65.0,65.0,0.0,18500.0,metros_cubicos,POINT (-99.1695818 19.419837),12624,0901500010998,09,015,0001,0998,Urbana,4,429.0,32.0,65.0,95.0,14.0
"Increíble Departamento Amueblado Cerca De Fuente De Cibeles, 12380","Medellin, Roma Norte, Cuauhtémoc, Distrito Federal",62,depto,renta,,19.4211777,-99.1667885,2.0,2.0,2.0,98.0,98.0,0.0,26850.0,metros_cubicos,POINT (-99.1667885 19.4211777),12624,0901500010998,09,015,0001,0998,Urbana,5,362.0,27.0,75.0,55.0,6.0
Renta Departamento Amueblado Roma Norte,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",70,depto,renta,6.0,19.4229918,-99.1642322,2.0,1.0,2.0,85.0,85.0,1.0,22000.0,metros_cubicos,POINT (-99.1642322 19.4229918),12624,0901500010998,09,015,0001,0998,Urbana,6,605.0,17.0,106.0,256.0,12.0
"Hermoso Departamento Frente A La Fuente De La Cibeles, Roma Norte, 17534","Medellin, Roma Norte, Cuauhtémoc, Distrito Federal",89,depto,renta,,19.4205083,-99.1669138,1.0,1.0,1.0,60.0,60.0,0.0,24500.0,metros_cubicos,POINT (-99.1669138 19.4205083),12624,0901500010998,09,015,0001,0998,Urbana,7,378.0,33.0,67.0,64.0,7.0
"Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 65 M², Id: 60663","Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",94,depto,renta,,19.4198706,-99.1695089,2.0,1.0,2.0,65.0,65.0,11.0,17500.0,metros_cubicos,POINT (-99.1695089 19.4198706),12624,0901500010998,09,015,0001,0998,Urbana,8,431.0,32.0,67.0,94.0,13.0
"Venta Y/o Renta Departamento A Estrenar En Durango, Roma Nor","Durango, Roma Norte, Cuauhtémoc, Distrito Federal",101,depto,venta,5.0,19.4202688,-99.1642694,3.0,2.0,2.0,192.0,192.0,0.0,9000000.0,metros_cubicos,POINT (-99.16426939999999 19.4202688),12624,0901500010998,09,015,0001,0998,Urbana,9,327.0,18.0,74.0,61.0,12.0
"14483 Calle Salamanca, Roma Norte","Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",108,depto,venta,,19.419871,-99.169509,2.0,2.0,2.0,89.0,89.0,0.0,8500000.0,metros_cubicos,POINT (-99.16950900000001 19.419871),12624,0901500010998,09,015,0001,0998,Urbana,10,431.0,32.0,67.0,94.0,13.0
Gran Oportunidad Departamento En Venta Roma Norte,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",153,depto,venta,6.0,19.4202448,-99.1695894,2.0,1.0,3.0,184.0,184.0,0.0,6500000.0,metros_cubicos,POINT (-99.16958940000001 19.4202448),12624,0901500010998,09,015,0001,0998,Urbana,11,408.0,29.0,64.0,90.0,13.0
"14323 Valladolid, Roma Norte","Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",192,depto,venta,,19.42028,-99.168,2.0,1.0,3.0,109.0,109.0,0.0,6500000.0,metros_cubicos,POINT (-99.16800000000001 19.42028),12624,0901500010998,09,015,0001,0998,Urbana,12,406.0,32.0,74.0,75.0,9.0
Departamento En Venta En Colonia Roma,"Sinaloa, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",206,depto,venta,5.0,19.4202448,-99.1695894,2.0,1.0,2.0,85.0,85.0,25.0,4300000.0,metros_cubicos,POINT (-99.16958940000001 19.4202448),12624,0901500010998,09,015,0001,0998,Urbana,13,408.0,29.0,64.0,90.0,13.0
"14650 Av. Chapultepec, Roma Norte","Av  Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",215,depto,venta,,19.422955,-99.165253,2.0,1.0,2.0,85.0,85.0,0.0,4695000.0,metros_cubicos,POINT (-99.16525300000001 19.422955),12624,0901500010998,09,015,0001,0998,Urbana,14,612.0,15.0,120.0,246.0,11.0
"Suite ,roma Norte Gran Oportunidad, Recuperacion Hipotecaria ","Cuauhtemoc, Cuauhtémoc, Distrito Federal",238,depto,venta,1.0,19.42048,-99.1702009,1.0,,1.0,49.0,49.0,28.0,1562000.0,metros_cubicos,POINT (-99.1702009 19.42048),12624,0901500010998,09,015,0001,0998,Urbana,15,411.0,25.0,73.0,94.0,12.0
"Suite ,roma Norte Gran Oportunidad, Recuperacion Hipotecaria ","Cuauhtemoc, Cuauhtémoc, Distrito Federal",239,depto,venta,1.0,19.42048,-99.1702009,1.0,,1.0,53.0,53.0,28.0,1618000.0,metros_cubicos,POINT (-99.1702009 19.42048),12624,0901500010998,09,015,0001,0998,Urbana,16,411.0,25.0,73.0,94.0,12.0
"Suite ,roma Norte Gran Oportunidad, Recuperacion Hipotecaria ","Cuauhtemoc, Cuauhtémoc, Distrito Federal",240,depto,venta,1.0,19.42048,-99.1702009,1.0,,1.0,54.0,54.0,28.0,1646000.0,metros_cubicos,POINT (-99.1702009 19.42048),12624,0901500010998,09,015,0001,0998,Urbana,17,411.0,25.0,73.0,94.0,12.0
"Suite ,roma Norte Gran Oportunidad, Recuperacion Hipotecaria ","Cuauhtemoc, Cuauhtémoc, Distrito Federal",241,depto,venta,1.0,19.42048,-99.1702009,1.0,,1.0,54.0,54.0,28.0,1646000.0,metros_cubicos,POINT (-99.1702009 19.42048),12624,0901500010998,09,015,0001,0998,Urbana,18,411.0,25.0,73.0,94.0,12.0
"Suite ,roma Norte Gran Oportunidad, Recuperacion Hipotecaria ","Cuauhtemoc, Cuauhtémoc, Distrito Federal",242,depto,venta,1.0,19.42048,-99.1702009,1.0,,1.0,78.0,78.0,28.0,3220000.0,metros_cubicos,POINT (-99.1702009 19.42048),12624,0901500010998,09,015,0001,0998,Urbana,19,411.0,25.0,73.0,94.0,12.0
"Suite ,roma Norte Gran Oportunidad, Recuperacion Hipotecaria ","Cuauhtemoc, Cuauhtémoc, Distrito Federal",243,depto,venta,1.0,19.42048,-99.1702009,1.0,1.0,1.0,85.0,85.0,28.0,2695000.0,metros_cubicos,POINT (-99.1702009 19.42048),12624,0901500010998,09,015,0001,0998,Urbana,20,411.0,25.0,73.0,94.0,12.0
"Ocotlán, Roma Norte","Ocotlan, Roma Norte, Cuauhtémoc, Distrito Federal",264,casa,venta,4.0,19.4216027,-99.1694198,3.0,1.0,3.0,150.0,235.0,91.0,14500000.0,metros_cubicos,POINT (-99.1694198 19.4216027),12624,0901500010998,09,015,0001,0998,Urbana,21,407.0,26.0,74.0,82.0,9.0
"Uh Departamento En Renta, Roma Norte. Sobre Av. Principal","Avenida Oaxaca 1, Roma Norte, Cuauhtémoc, Distrito Federal",292,depto,renta,2.0,19.41991,-99.1662471,1.0,,2.0,90.0,90.0,0.0,21000.0,metros_cubicos,POINT (-99.16624710000001 19.41991),12624,0901500010998,09,015,0001,0998,Urbana,22,418.0,34.0,79.0,76.0,11.0
