main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela,Baños_imp,Recámaras_imp,num_comercios_imp,is_consultorio_imp,is_recreativo_imp,is_retail_imp,is_escuela_imp,precio_m2,precio_m2_final
renta departamento en roma norte,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",1,depto,renta,6.0,19.4229918,-99.1642322,2.0,1.0,2.0,85.0,85.0,1.0,17500.0,metros_cubicos,POINT (-99.1642322 19.4229918),12624,0901500010998,9,15,1,0998,Urbana,1,605.0,17.0,106.0,256.0,12.0,2.0,2.0,605.0,17.0,106.0,256.0,12.0,35294.11764705882,35294.11764705882
"confortable depa en roma norte, cerca de metro sevilla, 71465","Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",61,depto,renta,,19.419837,-99.1695818,2.0,1.0,2.0,65.0,65.0,0.0,18500.0,metros_cubicos,POINT (-99.1695818 19.419837),12624,0901500010998,9,15,1,0998,Urbana,4,429.0,32.0,65.0,95.0,14.0,2.0,2.0,429.0,32.0,65.0,95.0,14.0,48791.20879120879,48791.20879120879
"increíble departamento amueblado cerca de fuente de cibeles, 12380","Medellin, Roma Norte, Cuauhtémoc, Distrito Federal",62,depto,renta,,19.4211777,-99.1667885,2.0,2.0,2.0,98.0,98.0,0.0,26850.0,metros_cubicos,POINT (-99.1667885 19.4211777),12624,0901500010998,9,15,1,0998,Urbana,5,362.0,27.0,75.0,55.0,6.0,2.0,2.0,362.0,27.0,75.0,55.0,6.0,46967.930029154515,46967.930029154515
renta departamento amueblado roma norte,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",70,depto,renta,6.0,19.4229918,-99.1642322,2.0,1.0,2.0,85.0,85.0,1.0,22000.0,metros_cubicos,POINT (-99.1642322 19.4229918),12624,0901500010998,9,15,1,0998,Urbana,6,605.0,17.0,106.0,256.0,12.0,2.0,2.0,605.0,17.0,106.0,256.0,12.0,44369.74789915966,44369.74789915966
"hermoso departamento frente a la fuente de la cibeles, roma norte, 17534","Medellin, Roma Norte, Cuauhtémoc, Distrito Federal",89,depto,renta,,19.4205083,-99.1669138,1.0,1.0,1.0,60.0,60.0,0.0,24500.0,metros_cubicos,POINT (-99.1669138 19.4205083),12624,0901500010998,9,15,1,0998,Urbana,7,378.0,33.0,67.0,64.0,7.0,1.0,1.0,378.0,33.0,67.0,64.0,7.0,70000.0,70000.0
"departamento en roma norte, cuauhtémoc con 2 recámaras, 65 m², id: 60663","Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",94,depto,renta,,19.4198706,-99.1695089,2.0,1.0,2.0,65.0,65.0,11.0,17500.0,metros_cubicos,POINT (-99.1695089 19.4198706),12624,0901500010998,9,15,1,0998,Urbana,8,431.0,32.0,67.0,94.0,13.0,2.0,2.0,431.0,32.0,67.0,94.0,13.0,46153.84615384615,46153.84615384615
"venta y/o renta departamento a estrenar en durango, roma nor","Durango, Roma Norte, Cuauhtémoc, Distrito Federal",101,depto,venta,5.0,19.4202688,-99.1642694,3.0,2.0,2.0,192.0,192.0,0.0,9000000.0,metros_cubicos,POINT (-99.16426939999999 19.4202688),12624,0901500010998,9,15,1,0998,Urbana,9,327.0,18.0,74.0,61.0,12.0,3.0,2.0,327.0,18.0,74.0,61.0,12.0,46875.0,46875.0
"14483 calle salamanca, roma norte","Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",108,depto,venta,,19.419871,-99.169509,2.0,2.0,2.0,89.0,89.0,0.0,8500000.0,metros_cubicos,POINT (-99.16950900000001 19.419871),12624,0901500010998,9,15,1,0998,Urbana,10,431.0,32.0,67.0,94.0,13.0,2.0,2.0,431.0,32.0,67.0,94.0,13.0,95505.61797752809,95505.61797752809
gran oportunidad departamento en venta roma norte,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",153,depto,venta,6.0,19.4202448,-99.1695894,2.0,1.0,3.0,184.0,184.0,0.0,6500000.0,metros_cubicos,POINT (-99.16958940000001 19.4202448),12624,0901500010998,9,15,1,0998,Urbana,11,408.0,29.0,64.0,90.0,13.0,2.0,3.0,408.0,29.0,64.0,90.0,13.0,35326.086956521736,35326.086956521736
"14323 valladolid, roma norte","Valladolid, Roma Norte, Cuauhtémoc, Distrito Federal",192,depto,venta,,19.42028,-99.168,2.0,1.0,3.0,109.0,109.0,0.0,6500000.0,metros_cubicos,POINT (-99.16800000000001 19.42028),12624,0901500010998,9,15,1,0998,Urbana,12,406.0,32.0,74.0,75.0,9.0,2.0,3.0,406.0,32.0,74.0,75.0,9.0,59633.02752293578,59633.02752293578
