main_name,subtitle,link,location,id,price_mod,price_currency,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final
Renta Departamento En Roma Norte,Departamento en renta,https://departamento.metroscubicos.com/MLM-1376327757-renta-departamento-en-roma-norte-_JM#position=1&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",1,17500.0,pesos,depto,renta,6,19.4229918,-99.1642322,2,1,2,85.0,85.0,1.0,17500.0
Casa En Venta Colonia Roma Norte,Casa en venta,https://casa.metroscubicos.com/MLM-1376829218-casa-en-venta-colonia-roma-norte-_JM#position=2&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Roma Norte, Cuauhtémoc, Distrito Federal",2,19500000.0,pesos,casa,venta,5,19.4205803,-99.1591294,3,1,3,114.0,255.0,0.0,19500000.0
"Departamento En Venta En Col. Roma Norte, Cuauhtémoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1378964342-departamento-en-venta-en-col-roma-norte-cuauhtemoc-_JM#position=3&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",3,5295000.0,pesos,depto,venta,1,19.4142857,-99.1592041,2,1,3,135.0,135.0,55.0,5295000.0
"Departamento En Venta En Col. Roma Norte, Cuauhtémoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1378964344-departamento-en-venta-en-col-roma-norte-cuauhtemoc-_JM#position=4&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",4,5495000.0,pesos,depto,venta,1,19.414309,-99.1580519,2,2,2,79.0,79.0,10.0,5495000.0
"Departamento En Venta Con Terraza, Roma Norte, Cuauhtemoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1378230865-departamento-en-venta-con-terraza-roma-norte-cuauhtemoc-_JM#position=5&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Roma Norte, Cuauhtémoc, Distrito Federal",5,5495000.0,pesos,depto,venta,2,19.414309,-99.1580519,2,2,2,79.0,79.0,10.0,5495000.0
Renta Casa A Estrenar En Condominio Roma Norte,Casa en renta,https://casa.metroscubicos.com/MLM-1377874437-renta-casa-a-estrenar-en-condominio-roma-norte-_JM#position=6&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Cozumel S/n, Roma Norte, Cuauhtémoc, Distrito Federal",6,45000.0,pesos,casa,renta,4,19.419022,-99.1709307,4,,3,800.0,169.0,0.0,45000.0
Venta Departamento Roma Alberca Cuauhtemoc,Departamento en venta,https://departamento.metroscubicos.com/MLM-941664473-venta-departamento-roma-alberca-cuauhtemoc-_JM#position=7&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Queretaro, Roma Norte, Cuauhtémoc, Distrito Federal",7,6700000.0,pesos,depto,venta,7,19.413676,-99.1654703,2,1,2,90.0,90.0,3.0,6700000.0
"Departamento En Venta En Roma Norte, Cuauhtémoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1361677423-departamento-en-venta-en-roma-norte-cuauhtemoc-_JM#position=8&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Chihuahua, Roma Norte, Cuauhtémoc, Distrito Federal",8,2800000.0,pesos,depto,venta,43,19.416335,-99.1648546,1,,2,70.0,70.0,0.0,2800000.0
"Departamento En Roma Norte, Cuauhtémoc Con 3 Recámaras, 146 M², Id: 36895",Departamento en venta,https://departamento.metroscubicos.com/MLM-1323145292-departamento-en-roma-norte-cuauhtemoc-con-3-recamaras-146-m-id-36895-_JM#position=9&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",9,7500000.0,pesos,depto,venta,,19.4130874,-99.1634537,2,3,3,179.0,146.0,0.0,7500000.0
Departamento En Renta En Element Roma (303),Departamento en renta,https://departamento.metroscubicos.com/MLM-875782610-departamento-en-renta-en-element-roma-303-_JM#position=10&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Colima 334, Roma Norte, Cuauhtémoc, Distrito Federal",10,28500.0,pesos,depto,renta,1,19.4182051,-99.1671974,2,1,2,89.25,89.25,2.0,28500.0
