id,price,name,lat,lon,Baños,Recámaras,terreno
3,3287655,"Pre-Venta Departamentos, Zacatecas, Roma, Del Cuauhtemoc.",19.41584,-99.15967,1.0,1,
4,5790000,Cuauhtemoc Roma Norte Departamento como Nuevo en Av. Yucatan,19.41452,-99.16395,3.0,3,
6,3429250,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 56554",19.41239,-99.15623,1.0,1,43.0
7,3500000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 60172",19.41092,-99.16622,1.0,1,52.0
8,3225000,Querétaro 37  / Roma Norte,19.41575,-99.15619,1.0,1,
9,3912000,Preventa exclusiva · Terraloza Roma Norte ·,19.42102,-99.16354,1.0,1,
10,4800000,DEPARATMENTO EN LA COL. ROMA NORTE,19.42205,-99.16614,1.0,2,
11,4500000,"Av. Yucatán 132, Roma Norte",19.41308,-99.16083,2.0,2,
12,3600000,Departamento en venta Avenida Chapultepec 246,19.42397,-99.16091,2.0,2,60.0
13,4550000,VENTA DEPTO 90m2 COL ROMA NORTE CDMX,19.41261,-99.16082,2.0,2,133.0
15,2600000,Departamento en Venta  Col Roma,19.41342,-99.15773,1.0,2,
18,4950000,"DEPARTAMENTO CON TERRAZA PRIVADA,  DE DOS NIVELES,  EN PLANTA BAJA",19.41528,-99.16032,2.0,2,99.0
19,2785000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 56587",19.42186,-99.16364,1.0,1,34.0
20,4150000,"Departamento venta, Orizaba, Roma Norte, Cuauhtémoc",19.42387,-99.16104,2.0,2,
22,4200000,Departamento en venta Col Roma,19.41257,-99.15551,1.0,3,98.0
23,5990000,Departamento de dos niveles en la Roma Norte,19.4205,-99.15878,2.0,2,
26,20000000,PENTHOUSE EN LA CONDESA A MEDIA CUADRA DEL PARQUE ESPANA,19.41652,-99.17243,3.0,3,425.0
27,8200000,"Departamento en venta en Col. Roma Norte, Cuauhtémoc",19.41367,-99.16547,3.0,3,
28,3900000,"Departamento en venta, Roma Norte, Cuauhtémoc",19.41624,-99.15743,1.0,2,
