id,text,external_id
Superficie total,85 m²,1
Superficie construida,85 m²,1
Recámaras,2,1
Baños,2,1
Estacionamientos,1,1
Admite mascotas,Sí,1
Bodegas,1,1
Número de piso de la unidad,5,1
Departamentos por piso,4,1
Cantidad de pisos,9,1
Antigüedad,1 años,1
Disposición,Interno,1
Orientación,Sur,1
Superficie total,114 m²,2
Superficie construida,255 m²,2
Ambientes,7,2
Recámaras,3,2
Baños,3,2
Estacionamientos,1,2
Antigüedad,0 años,2
Superficie total,135 m²,3
Superficie construida,135 m²,3
Ambientes,5,3
Recámaras,3,3
Baños,2,3
Estacionamientos,1,3
Antigüedad,55 años,3
Superficie total,79 m²,4
Superficie construida,79 m²,4
Ambientes,4,4
Recámaras,2,4
Baños,2,4
Estacionamientos,2,4
Antigüedad,10 años,4
Superficie total,79 m²,5
Superficie construida,79 m²,5
Recámaras,2,5
Baños,2,5
Estacionamientos,2,5
Antigüedad,10 años,5
Superficie total,800 m²,6
Superficie construida,169 m²,6
Recámaras,3,6
Baños,4,6
Superficie total,90 m²,7
Superficie construida,90 m²,7
Ambientes,4,7
Recámaras,2,7
Baños,2,7
Estacionamientos,1,7
Antigüedad,3 años,7
Superficie total,70 m²,8
Superficie construida,70 m²,8
Ambientes,3,8
Recámaras,2,8
Baños,1,8
Antigüedad,0 años,8
Superficie total,179 m²,9
Superficie construida,146 m²,9
Ambientes,3,9
Recámaras,3,9
Baños,2,9
Estacionamientos,3,9
Tipo de departamento,Loft,9
Antigüedad,0 años,9
Cuota mensual de mantenimiento,1800 MXN,9
Superficie total,89.25 m²,10
Superficie construida,89.25 m²,10
Recámaras,2,10
Baños,2,10
Estacionamientos,1,10
Número de piso de la unidad,3,10
Departamentos por piso,6,10
Cantidad de pisos,5,10
Antigüedad,2 años,10
Superficie total,114 m²,11
Superficie construida,114 m²,11
Ambientes,5,11
Recámaras,2,11
Baños,2,11
Estacionamientos,1,11
Superficie total,202 m²,12
Superficie construida,202 m²,12
Ambientes,2,12
Recámaras,2,12
Baños,3,12
Estacionamientos,2,12
Tipo de departamento,Loft,12
Orientación,Oeste,12
Antigüedad,9 años,12
Cuota mensual de mantenimiento,3300 MXN,12
Superficie total,64 m²,13
Superficie construida,64 m²,13
Recámaras,1,13
Baños,1,13
Estacionamientos,1,13
Superficie total,68 m²,14
Superficie construida,68 m²,14
Ambientes,3,14
Recámaras,2,14
Baños,1,14
Antigüedad,60 años,14
