id,coords
1,19.4229918%2C-99.1642322
2,19.4205803%2C-99.1591294
3,19.4142857%2C-99.1592041
4,19.414309%2C-99.1580519
5,19.414309%2C-99.1580519
6,19.419022%2C-99.1709307
7,19.413676%2C-99.1654703
8,19.416335%2C-99.1648546
9,19.4130874%2C-99.1634537
10,19.4182051%2C-99.1671974
11,19.4129403%2C-99.1615832
12,19.414309%2C-99.1580519
13,19.419891%2C-99.172019
14,19.4168211%2C-99.1596475
15,19.4205986%2C-99.175132
16,19.414309%2C-99.1580519
17,19.4208119%2C-99.1556128
18,19.41509%2C-99.158728
19,19.415931%2C-99.164594
20,19.414611%2C-99.158197
21,19.4109378%2C-99.1654649
22,19.4186073%2C-99.1696563
23,19.41597%2C-99.1619833
24,19.416524%2C-99.157399
25,19.423792%2C-99.161901
26,19.4205052%2C-99.1587829
27,19.4196927%2C-99.1560364
28,19.4193742%2C-99.171225
29,19.4186259%2C-99.1695609
30,19.412467%2C-99.156227
31,19.4195256%2C-99.162549
32,19.4210293%2C-99.1635414
33,19.417364%2C-99.159454
34,19.4157159%2C-99.1642755
35,19.4195256%2C-99.162549
36,19.4182051%2C-99.1671974
37,19.4141846%2C-99.1597243
38,19.417364%2C-99.159454
39,19.4136766%2C-99.1654682
40,19.4157159%2C-99.1642755
41,19.4195256%2C-99.162549
42,19.4211906%2C-99.1611555
43,19.4152831%2C-99.160323
44,19.4168808%2C-99.1693402
45,19.4192957%2C-99.1635835
46,19.4166856%2C-99.1612588
47,19.4146191%2C-99.1581994
48,19.4234183%2C-99.1557989
49,19.4234183%2C-99.1557989
50,19.4157159%2C-99.1642755
51,19.417043%2C-99.154625
52,19.4190796%2C-99.1709152
53,19.4159086%2C-99.162286
54,19.4182902%2C-99.1667248
55,19.414149%2C-99.1645398
56,19.4165378%2C-99.1659017
57,19.412594%2C-99.1552653
58,19.4211906%2C-99.1611555
59,19.412594%2C-99.1552653
60,19.4159086%2C-99.162286
61,19.419837%2C-99.1695818
62,19.4211777%2C-99.1667885
63,19.4161493%2C-99.1575625
64,19.4181982%2C-99.1671909
65,19.4165256%2C-99.165549
66,19.4210727%2C-99.1557975
67,19.4244343%2C-99.1594778
68,19.4187681%2C-99.173099
69,19.4236389%2C-99.1541224
70,19.4229918%2C-99.1642322
71,19.4205448%2C-99.1598208
72,19.414922%2C-99.1613129
73,19.4142857%2C-99.1592041
74,19.4157141%2C-99.1553039
75,19.4165297%2C-99.1656371
76,19.4195256%2C-99.162549
77,19.4146488%2C-99.1604736
78,19.4159559%2C-99.1585056
79,19.4193053%2C-99.1538106
80,19.4184868%2C-99.1636484
81,19.4159559%2C-99.1585056
82,19.4091797%2C-99.1632065
83,19.4155552%2C-99.1615919
84,19.4183756%2C-99.1698963
85,19.4141267%2C-99.1647512
86,19.4155552%2C-99.1615919
87,19.4142912%2C-99.1660487
88,19.4155552%2C-99.1615919
89,19.4205083%2C-99.1669138
90,19.4204845%2C-99.1719311
91,19.4356338%2C-99.1495107
92,19.4150482%2C-99.1602171
93,19.4195256%2C-99.162549
94,19.4198706%2C-99.1695089
95,19.4195256%2C-99.162549
96,19.4210439%2C-99.1609432
97,19.4210439%2C-99.1609432
98,19.4451%2C-99.1461
99,19.4195256%2C-99.162549
100,19.4451%2C-99.1461
101,19.4202688%2C-99.1642694
102,19.4195256%2C-99.162549
103,19.4195256%2C-99.162549
104,19.4195256%2C-99.162549
105,19.42241%2C-99.1553333
106,19.42119%2C-99.16115
107,19.4205193%2C-99.1676058
108,19.419871%2C-99.169509
109,19.4289499%2C-99.1711628
110,19.4171982%2C-99.1555016
111,19.4153848%2C-99.1619716
112,19.4230063%2C-99.161464
113,19.418827%2C-99.156575
114,19.4168211%2C-99.1596475
115,19.4195256%2C-99.162549
116,19.418827%2C-99.156575
117,19.4230063%2C-99.161464
118,19.4148155%2C-99.1603133
119,19.41597%2C-99.1619833
120,19.4158759%2C-99.1599856
121,19.4234541%2C-99.1619184
122,19.4168211%2C-99.1596475
124,19.4221%2C-99.1591
125,19.4119026%2C-99.1596531
126,19.4159086%2C-99.162286
127,19.4183512%2C-99.1572547
128,19.4195256%2C-99.162549
129,19.4195256%2C-99.162549
130,19.4246112%2C-99.1595467
131,19.415922%2C-99.1603129
132,19.424089%2C-99.15982
133,19.4195256%2C-99.162549
134,19.4195256%2C-99.162549
135,19.4195%2C-99.1589
136,19.4195256%2C-99.162549
137,19.413741%2C-99.161001
138,19.4003499%2C-99.1709146
139,19.4003499%2C-99.1709146
143,19.4205448%2C-99.1598208
144,19.4195256%2C-99.162549
145,19.417198%2C-99.1555
146,19.4356338%2C-99.1495107
147,19.4208778%2C-99.1645062
150,19.4176059%2C-99.1678653
151,19.4195256%2C-99.162549
152,19.414614%2C-99.16192
153,19.4202448%2C-99.1695894
154,19.4195256%2C-99.162549
155,19.419436%2C-99.16253
161,19.4233553%2C-99.1588694
162,19.418284%2C-99.15567
163,19.4195256%2C-99.162549
164,19.3091973%2C-99.1360907
165,19.4140654%2C-99.1575447
166,19.4202476%2C-99.1763064
167,19.4003499%2C-99.1709146
169,19.4181982%2C-99.1671909
170,19.415957%2C-99.160426
171,19.4182766%2C-99.166438
172,19.4195256%2C-99.162549
173,19.4182766%2C-99.166438
174,19.4195256%2C-99.162549
175,19.4182766%2C-99.166438
180,19.4195256%2C-99.162549
181,19.4195256%2C-99.162549
182,19.415555%2C-99.161592
183,19.413048%2C-99.161507
184,19.4195256%2C-99.162549
185,19.4195256%2C-99.162549
186,19.4195256%2C-99.162549
187,19.4030201%2C-99.1687004
189,19.4178619%2C-99.1642576
190,19.4201174%2C-99.1637568
191,19.4195256%2C-99.162549
192,19.42028%2C-99.168
193,19.4194784%2C-99.1745264
194,19.412394%2C-99.156231
195,19.4195256%2C-99.162549
196,19.4195256%2C-99.162549
201,19.4189983%2C-99.1640265
202,19.415896%2C-99.1593996
203,19.4209205%2C-99.1577961
204,19.415349%2C-99.15821
205,19.4195256%2C-99.162549
206,19.4202448%2C-99.1695894
207,19.4195256%2C-99.162549
208,19.418009%2C-99.15571
209,19.415349%2C-99.15821
210,19.423492%2C-99.1535797
