main_name|subtitle|link|location|price|attributes|id|address|lat|lon|since
Renta Departamento En Roma Norte|Departamento en renta|https://departamento.metroscubicos.com/MLM-1376327757-renta-departamento-en-roma-norte-_JM#position=1&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|17500 pesos|85 m² construidos,2 recs.|1|Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 6 días
Casa En Venta Colonia Roma Norte|Casa en venta|https://casa.metroscubicos.com/MLM-1376829218-casa-en-venta-colonia-roma-norte-_JM#position=2&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Roma Norte, Cuauhtémoc, Distrito Federal|19500000 pesos|255 m² construidos,3 recs.|2||19.39068|-99.2836995|Publicado hace 5 días
Departamento En Venta En Col. Roma Norte, Cuauhtémoc|Departamento en venta|https://departamento.metroscubicos.com/MLM-1378964342-departamento-en-venta-en-col-roma-norte-cuauhtemoc-_JM#position=3&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal|5295000 pesos|135 m² construidos,3 recs.|3|San Luis Potosí|19.39068|-99.2836995|Publicado hace 1 día
Departamento En Venta En Col. Roma Norte, Cuauhtémoc|Departamento en venta|https://departamento.metroscubicos.com/MLM-1378964344-departamento-en-venta-en-col-roma-norte-cuauhtemoc-_JM#position=4&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal|5495000 pesos|79 m² construidos,2 recs.|4|San Luis Potosí|19.39068|-99.2836995|Publicado hace 1 día
Departamento En Venta Con Terraza, Roma Norte, Cuauhtemoc|Departamento en venta|https://departamento.metroscubicos.com/MLM-1378230865-departamento-en-venta-con-terraza-roma-norte-cuauhtemoc-_JM#position=5&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Roma Norte, Cuauhtémoc, Distrito Federal|5495000 pesos|79 m² construidos,2 recs.|5||19.39068|-99.2836995|Publicado hace 2 días
Renta Casa A Estrenar En Condominio Roma Norte|Casa en renta|https://casa.metroscubicos.com/MLM-1377874437-renta-casa-a-estrenar-en-condominio-roma-norte-_JM#position=6&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Cozumel S/n, Roma Norte, Cuauhtémoc, Distrito Federal|45000 pesos|169 m² construidos,3 recs.|6|Cozumel S/n|19.39068|-99.2836995|Publicado hace 4 días
Venta Departamento Roma Alberca Cuauhtemoc|Departamento en venta|https://departamento.metroscubicos.com/MLM-941664473-venta-departamento-roma-alberca-cuauhtemoc-_JM#position=7&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Queretaro, Roma Norte, Cuauhtémoc, Distrito Federal|6700000 pesos|90 m² construidos,2 recs.|7|Queretaro|19.39068|-99.2836995|Publicado hace 7 meses
Departamento En Venta En Roma Norte, Cuauhtémoc|Departamento en venta|https://departamento.metroscubicos.com/MLM-1361677423-departamento-en-venta-en-roma-norte-cuauhtemoc-_JM#position=8&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Chihuahua, Roma Norte, Cuauhtémoc, Distrito Federal|2800000 pesos|70 m² construidos,2 recs.|8|Chihuahua|19.39068|-99.2836995|Publicado hace 43 días
Departamento En Roma Norte, Cuauhtémoc Con 3 Recámaras, 146 M², Id: 36895|Departamento en venta|https://departamento.metroscubicos.com/MLM-1323145292-departamento-en-roma-norte-cuauhtemoc-con-3-recamaras-146-m-id-36895-_JM#position=9&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal|7500000 pesos|146 m² construidos,3 recs.|9|San Luis Potosí|19.39068|-99.2836995|
Departamento En Renta En Element Roma (303)|Departamento en renta|https://departamento.metroscubicos.com/MLM-875782610-departamento-en-renta-en-element-roma-303-_JM#position=10&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Colima 334, Roma Norte, Cuauhtémoc, Distrito Federal|28500 pesos|89 m² construidos,2 recs.|10|Colima 334|19.39068|-99.2836995|Publicado hace 1 año
