id,attribute_name,attribute_value
1,Estatus:,Preventa
1,Metros Cuadrados:,62-172m2
1,Recámara(s):,2
1,Baños:,2
1,Medio Baños:,—
1,Garage:,1
1,Año de Construccion:,—
1,Superficie Total:,—
1,Entrega:,—
2,Estatus:,Preventa
2,Metros Cuadrados:,64-127m2
2,Recámara(s):,1-3
2,Baños:,1-2
2,Medio Baños:,1
2,Garage:,1-2
2,Año de Construccion:,2022
2,Superficie Total:,—
2,Entrega:,enero 2023
3,Recámara(s):,1
3,Baños:,1
3,Garage:,1
3,Vendedor(a):,Inmobiliaria
4,Recámara(s):,3
4,Baños:,3
4,Garage:,2
4,Vendedor(a):,Inmobiliaria
5,Recámara(s):,2
5,Baños:,2
5,Garage:,2
5,Vendedor(a):,Inmobiliaria
6,Recámara(s):,1
6,Baños:,1
6,Terreno:,43m2
6,Vendedor(a):,Inmobiliaria
7,Recámara(s):,1
7,Baños:,1
7,Terreno:,52m2
7,Vendedor(a):,Inmobiliaria
8,Recámara(s):,1
8,Baños:,1
8,Vendedor(a):,Inmobiliaria
9,Recámara(s):,1
9,Baños:,1
9,Vendedor(a):,Inmobiliaria
10,Recámara(s):,2
10,Baños:,1
10,Vendedor(a):,Inmobiliaria
11,Recámara(s):,2
11,Baños:,2
11,Garage:,2
11,Vendedor(a):,Inmobiliaria
12,Recámara(s):,2
12,Baños:,2
12,Garage:,1
12,Terreno:,60m2
12,Vendedor(a):,Inmobiliaria
13,Recámara(s):,2
13,Baños:,2
13,Garage:,2
13,Terreno:,133m2
13,Vendedor(a):,Inmobiliaria
14,Recámara(s):,2
14,Baños:,3
14,Garage:,2
14,Terreno:,143m2
14,Vendedor(a):,Inmobiliaria
15,Recámara(s):,2
15,Baños:,1
15,Vendedor(a):,Inmobiliaria
16,Recámara(s):,2
16,Baños:,1
16,Vendedor(a):,Inmobiliaria
17,Recámara(s):,2
17,Baños:,2
17,Vendedor(a):,Inmobiliaria
18,Recámara(s):,2
18,Baños:,2
18,Garage:,2
18,Terreno:,99m2
18,Vendedor(a):,Inmobiliaria
19,Recámara(s):,1
19,Baños:,1
19,Terreno:,34m2
19,Vendedor(a):,Inmobiliaria
20,Recámara(s):,2
20,Baños:,2
20,Garage:,1
20,Vendedor(a):,Inmobiliaria
22,Recámara(s):,3
22,Baños:,1
22,Medio Baños:,1
22,Garage:,1
22,Terreno:,98m2
22,Vendedor(a):,Inmobiliaria
23,Recámara(s):,2
23,Baños:,2
23,Medio Baños:,1
23,Garage:,2
23,Vendedor(a):,Inmobiliaria
24,Estatus:,Preventa
24,Metros Cuadrados:,62-172m2
24,Recámara(s):,2
24,Baños:,2
24,Medio Baños:,—
24,Garage:,1
24,Año de Construccion:,—
24,Superficie Total:,—
24,Entrega:,—
